,,,,,,,,,,
,Artist,Song,Tonic,Intro,Verse,Chorus,Intro RN,Verse RN,Chorus RN,Link
,Me First,Jolene,A,(A C B A) x4,A C B A G G A A,"""",(I IIIb II I)x4,I IIIb II I VIIb VIIb I I,,https://tabs.ultimate-guitar.com/tab/me-first-and-the-gimme-gimmes/jolene-chords-439554
,Steppenwolf,Born to be Wild,E,E,(Ex4 (G A)x4)x2 E G A G,(E D)x2,I ,(Ix4 (IIIb IV)x4)x2 I IIIb IV IIIb,,https://www.cifraclub.com/steppenwolf/born-to-be-wild/
,The Knack,My Sharona,G,G C Bb-C-Bb,"""",G Bb C Eb,I IV IIIb-IV-IIIb,""" ",I IV V VIb,https://tabs.ultimate-guitar.com/tab/the-knack/my-sharona-tabs-28939
,Van Halen,You really got me,F#,(F# G# G# F#)x4,"""",(G# Bb)x4 (C# D#)x4,(I II I II)x4,""" ",(II III)x4 (V VI)x4,https://tabs.ultimate-guitar.com/tab/the-kinks/you-really-got-me-tabs-73020
,Barón Rojo,Los rockeros Van al infierno,C,C Eb F C G Bb F G,C Eb F C (G-Bb-G-Bb-G)x2,(C Eb F C)x2 Eb Bb D,I IIIb IV I V VIIb IV V,(I IIIb IV I)x2 IIIb VIIb II,,https://www.youtube.com/watch?v=nKS7Jw7ZSj8
,Flojos de Pantalon,Rosendo,Em,Riff E,E B C# A C# A C# B,A B C# A C#,Riff I,I V VI IV VI IV VI V,IV V VI IV VI,https://chords.lacuerda.net/rosendo/flojos_de_pantalon.shtml
,The Cult,Lil Devil,D,Riff D,(D D)x4 F C,(G C D F C D)x2,Riff I,(I I)x4 IIIb VIIb,(IV VIIb I III VIIb I)x2,
,Survivor,Eye of the Tiger,C,C C Bb C C Bb G#,-,-,I I-VIIb-I I-VIIb-VIb,,,
,4 non blondes,What's up,A,A Bm D A,"""","""",I II IV I,"""","""",https://tabs.ultimate-guitar.com/tab/4-non-blondes/whats-up-chords-349210
,Van Halen,Pretty Woman,A,Riff E,(A F# A F# D E E )x2,Dm G C Am Dm G C)x2...,Riff V,(I VI I VI IV V V)x2,,
,Loquillo,La mataré,Em,Em D Bm C,"""",(G D Em C-D)x2,,,,
,Johnny Cash,Hurt,Am,(Am C-D)xN,"""",G Am7 Fadd9 C/E,,,,
,Muse,Can't Take My Eyes off You,C,C,C CMaj7 C7 F Fm,(Dm G C A)x2,,,,
,Muse,Feeling Good,,,,,,,,
,George Thorogood...,Bad To The Bone,,,,,,,,
,HIM,Wicked Game,,,,,,,,
,Bryan Adams,Summer of 69,,,,,,,,
,Chuck Berry,Johnny B. Goode,,,,,,,,
,Daft Punk,Get Lucky,,,,,,,,
,Jet,Are You Gonna Be My Girl,,,,,,,,
,Loquillo,Feo Fuerte y Formal,,,,,,,,
,Status Quo,Rockin' All Over The World,,,,,,,,
,Niños mutantes,Como yo te amo,,,,,,,,
,Loquillo,Cadillac Solitario,,,,,,,,
,Rolling Stones,Honky Tonk Women,,,,,,,,
,The cramps,Strychnine,,,,,,,,
,The Arrows,I Love Rock N Roll,,,,,,,,
,Lenny Kravitz,Rock And Roll Is Dead,,,,,,,,
,The Kingsmen,Louie Louie,,,,,,,,
,Little Richard,Lucille,,,,,,,,
,Motorhead,Ace Of Spades,,,,,,,,
,Solomon Burke,Everybody Needs Somebody To Love,,,,,,,,
,Thin Lizzy,The Boys Are Back In Town,,,,,,,,
,ZZ Top,La Grange,,,,,,,,
